Bar/Restaurant Name,Business Website,Business Address,Address Line 2,City,Postal / Zip Code,Charity,Type,latitude,longitude,name
The Secret Society,http://secretsociety.net,116 NE Russell St.,,Portland,97212,Ethos,Aid,45.541258,-122.660225,"116 NE Russell St., Portland, 97212"
Paragon Restaurant & Bar,http://paragonrestaurant.com/,1309 NW Hoyt St,,Portland,97209,http://saintandrechurch.org/,Families,45.527277,-122.684537,"1309 NW Hoyt St, Portland, 97209"
Marmo Deli and Bar,http://marmopdx.com,1037 SW Morrison ,,Portland,97205,Living Yoga,Health,45.52016,-122.682518,"1037 SW Morrison , Portland, 97205"
Rum Club,http://www.rumclubpdx.com,720 SE Sandy,,Portland,97214,Oregon Humane Society,Furry Friends,45.51887,-122.657959,"720 SE Sandy, Portland, 97214"
Fenrir,http://fenrirpdx.com,2005 SE 11th ave,,Portland,97214,Friends of Trees,Environment,45.508508,-122.654834,"2005 SE 11th ave, Portland, 97214"
Gruner,http://grunerpdx.com,527 SW 12th Ave,,Portland,97205,Urban Cleaners,Families,45.521404,-122.683972,"527 SW 12th Ave, Portland, 97205"
Kask,http://grunerpdx.com,527 SW 12th Ave,,Portland,97205,Urban Cleaners,Families,45.521404,-122.683972,"527 SW 12th Ave, Portland, 97205"
The Whey Bar,http://www.oxpdx.com,2225 NE Martin Luther King Jr. Blvd.,,Portland,97212,Panda Paws Rescue,Aid,45.53919,-122.661660,"2225 NE Martin Luther King Jr. Blvd., Portland, 97212"
Xico,http://www.xicopdx.com,3715 SE Division St. ,,Portland,97202,http://pangaeaglobal.org,Health,45.504867,-122.625405,"3715 SE Division St. , Portland, 97202"
Racion,http://racionpdx.com/,1205 SW Washington Street,,Portland,97205,Oregon Humane Society,Humane Society,45.522068,-122.683576,"1205 SW Washington Street, Portland, 97205"
Noraneko,http://noranekoramen.com,1430 SE Water Ave ,,portland,97214,School of Rock,Youth,45.512711,-122.665726,"1430 SE Water Ave , portland, 97214"
Ringside Fish House,http://ringsidefishhouse.com,838 SW Park Ave,,Portland,97205,Habitat for Humanity Portland Metro,Families,45.518622,-122.680993,"838 SW Park Ave, Portland, 97205"
Red Star Tavern ,http://www.redstartavern.com,503 S.W. Alder Street,,Portland,97204,Cascade Aids Project ,Heath,45.51955,-122.677344,"503 S.W. Alder Street, Portland, 97204"
Pazzo,http://www.pazzo.com,627 SW Washington,,Portland,97205,P:EAR (Creatively Mentoring Homeless Youth) ,Youth,45.52049,-122.678040,"627 SW Washington, Portland, 97205"
Saucebox,http://www.saucebox.com,214 S.W. Broadway,,Portland,97205,Caldera Arts,Arts,45.52243,-122.677855,"214 S.W. Broadway, Portland, 97205"
Racion,http://racionpdx.com/,1205 Sw Washington,,Portland,97205,Mercy Corp Northwest,Aid,45.52198,-122.683610,"1205 Sw Washington, Portland, 97205"
Bunk Bar,http://www.bunksandwiches.com,1028 SE Water Ave,,Portland,97214,Doctors Without Borders,Aid,45.515185,-122.665589,"1028 SE Water Ave, Portland, 97214"
Nostrana,http://nostrana.com,1401 SE Morrison St.,,Portland,97214,Oregon Food Bank,Families,45.51771,-122.651427,"1401 SE Morrison St., Portland, 97214"
Imbibe,http://imbibemagazine.com,1001 SE Water Ave,Ste 285,Portland,97214,mercy corps,Aid,45.515284,-122.666026,"1001 SE Water Ave, Portland, 97214"
The Knock Back,http://www.theknockback.com,2315 NE Alberta St.,,Portland,97211,Friends of the Children,Youth,45.559144,-122.641643,"2315 NE Alberta St., Portland, 97211"
The Rookery Bar,http://www.ravenandrosepdx.com/,1331 sw broadway,,portland,97201,OREGON WILD,Environment,45.514902,-122.682349,"1331 sw broadway, portland, 97201"
Bamboo Sushi,http://bamboosushi.com,1409 NE Alberta,,Portland,97211,Columbia River Keeper,Environment,45.55914,-122.651386,"1409 NE Alberta, Portland, 97211"
Trifecta Tavern,http://trifectapdx.com,726 SE 6th AVE,,Portland,97213,Outside In,Youth,45.51758,-122.659416,"726 SE 6'th AVE, Portland, 97213"
